topic,ele_code,freq
1,055Y,1
1,062Y,1
1,7959,1
1,162y,1
1,1253,1
1,107Y,1
1,7645,1
1,125Y,1
1,7275,1
1,1998,1
1,054y,1
1,7259,1
1,7699,1
1,054Y,2
1,8624,3
1,7172,3
1,104Y,3
1,1536,3
1,7412,4
1,9150,4
1,162Y,17
1,7980,49
1,7261,53
1,1668,62
1,8060,78
1,1997,121
2,055Y,1
2,062Y,1
2,7959,1
2,162y,1
2,1253,1
2,107Y,1
2,7645,1
2,125Y,1
2,7275,1
2,1998,1
2,054y,1
2,7259,1
2,7699,1
2,054Y,2
2,8624,3
2,104Y,3
2,7172,3
2,1536,3
2,7412,4
2,9150,4
2,162Y,17
2,7980,49
2,7261,53
2,1668,62
2,8060,78
2,1997,121
3,055Y,1
3,062Y,1
3,7959,1
3,162y,1
3,1253,1
3,7699,1
3,107Y,1
3,7645,1
3,125Y,1
3,7275,1
3,1998,1
3,054y,1
3,7259,1
3,054Y,2
3,8624,3
3,104Y,3
3,7172,3
3,1536,3
3,7412,4
3,9150,4
3,162Y,17
3,7980,49
3,7261,53
3,1668,62
3,8060,78
3,1997,121
4,055Y,1
4,062Y,1
4,7959,1
4,162y,1
4,1253,1
4,107Y,1
4,7645,1
4,125Y,1
4,7275,1
4,1998,1
4,054y,1
4,7259,1
4,7699,1
4,054Y,2
4,8624,3
4,104Y,3
4,7172,3
4,1536,3
4,7412,4
4,9150,4
4,162Y,17
4,7980,49
4,7261,53
4,1668,62
4,8060,78
4,1997,121
5,055Y,1
5,062Y,1
5,7959,1
5,162y,1
5,1253,1
5,7699,1
5,107Y,1
5,7645,1
5,125Y,1
5,7275,1
5,1998,1
5,054y,1
5,7259,1
5,054Y,2
5,8624,3
5,104Y,3
5,7172,3
5,1536,3
5,7412,4
5,9150,4
5,162Y,17
5,7980,49
5,7261,53
5,1668,62
5,8060,78
5,1997,121
6,055Y,1
6,062Y,1
6,7959,1
6,162y,1
6,1253,1
6,7699,1
6,107Y,1
6,7645,1
6,125Y,1
6,7275,1
6,1998,1
6,054y,1
6,7259,1
6,054Y,2
6,104Y,3
6,8624,3
6,7172,3
6,1536,3
6,7412,4
6,9150,4
6,162Y,17
6,7980,49
6,7261,53
6,1668,62
6,8060,78
6,1997,121
7,055Y,1
7,062Y,1
7,7959,1
7,162y,1
7,1253,1
7,107Y,1
7,7645,1
7,125Y,1
7,7275,1
7,1998,1
7,054y,1
7,7259,1
7,7699,1
7,054Y,2
7,8624,3
7,7172,3
7,104Y,3
7,1536,3
7,7412,4
7,9150,4
7,162Y,17
7,7980,49
7,7261,53
7,1668,62
7,8060,78
7,1997,121
8,055Y,1
8,062Y,1
8,7959,1
8,162y,1
8,1253,1
8,7699,1
8,107Y,1
8,7645,1
8,125Y,1
8,7275,1
8,1998,1
8,054y,1
8,7259,1
8,054Y,2
8,104Y,3
8,8624,3
8,7172,3
8,1536,3
8,7412,4
8,9150,4
8,162Y,17
8,7980,49
8,7261,53
8,1668,62
8,8060,78
8,1997,121
9,055Y,1
9,062Y,1
9,7959,1
9,162y,1
9,1253,1
9,107Y,1
9,7645,1
9,125Y,1
9,7275,1
9,1998,1
9,054y,1
9,7259,1
9,7699,1
9,054Y,2
9,8624,3
9,104Y,3
9,7172,3
9,1536,3
9,7412,4
9,9150,4
9,162Y,17
9,7980,49
9,7261,53
9,1668,62
9,8060,78
9,1997,121
10,055Y,1
10,062Y,1
10,7959,1
10,162y,1
10,1253,1
10,107Y,1
10,7645,1
10,125Y,1
10,7275,1
10,1998,1
10,054y,1
10,7259,1
10,7699,1
10,054Y,2
10,8624,3
10,104Y,3
10,7172,3
10,1536,3
10,7412,4
10,9150,4
10,162Y,17
10,7980,49
10,7261,53
10,1668,62
10,8060,78
10,1997,121
11,055Y,1
11,062Y,1
11,7959,1
11,162y,1
11,1253,1
11,7699,1
11,107Y,1
11,7645,1
11,125Y,1
11,7275,1
11,1998,1
11,054y,1
11,7259,1
11,054Y,2
11,8624,3
11,104Y,3
11,7172,3
11,1536,3
11,7412,4
11,9150,4
11,162Y,17
11,7980,49
11,7261,53
11,1668,62
11,8060,78
11,1997,121
12,055Y,1
12,062Y,1
12,7959,1
12,162y,1
12,1253,1
12,7699,1
12,107Y,1
12,7645,1
12,125Y,1
12,7275,1
12,1998,1
12,054y,1
12,7259,1
12,054Y,2
12,8624,3
12,104Y,3
12,7172,3
12,1536,3
12,7412,4
12,9150,4
12,162Y,17
12,7980,49
12,7261,53
12,1668,62
12,8060,78
12,1997,121
13,055Y,1
13,062Y,1
13,7959,1
13,162y,1
13,1253,1
13,7699,1
13,107Y,1
13,7645,1
13,125Y,1
13,7275,1
13,1998,1
13,054y,1
13,7259,1
13,054Y,2
13,104Y,3
13,8624,3
13,7172,3
13,1536,3
13,7412,4
13,9150,4
13,162Y,17
13,7980,49
13,7261,53
13,1668,62
13,8060,78
13,1997,121
14,055Y,1
14,062Y,1
14,7959,1
14,162y,1
14,1253,1
14,107Y,1
14,7645,1
14,125Y,1
14,7275,1
14,1998,1
14,054y,1
14,7259,1
14,7699,1
14,054Y,2
14,8624,3
14,104Y,3
14,7172,3
14,1536,3
14,7412,4
14,9150,4
14,162Y,17
14,7980,49
14,7261,53
14,1668,62
14,8060,78
14,1997,121
15,055Y,1
15,062Y,1
15,7959,1
15,162y,1
15,1253,1
15,107Y,1
15,7645,1
15,125Y,1
15,7275,1
15,1998,1
15,054y,1
15,7259,1
15,7699,1
15,054Y,2
15,8624,3
15,104Y,3
15,7172,3
15,1536,3
15,7412,4
15,9150,4
15,162Y,17
15,7980,49
15,7261,53
15,1668,62
15,8060,78
15,1997,121
16,055Y,1
16,062Y,1
16,7959,1
16,162y,1
16,1253,1
16,107Y,1
16,7645,1
16,125Y,1
16,7275,1
16,1998,1
16,054y,1
16,7259,1
16,7699,1
16,054Y,2
16,8624,3
16,104Y,3
16,7172,3
16,1536,3
16,7412,4
16,9150,4
16,162Y,17
16,7980,49
16,7261,53
16,1668,62
16,8060,78
16,1997,121
17,055Y,1
17,062Y,1
17,7959,1
17,162y,1
17,1253,1
17,107Y,1
17,7645,1
17,125Y,1
17,7275,1
17,1998,1
17,054y,1
17,7259,1
17,7699,1
17,054Y,2
17,8624,3
17,104Y,3
17,7172,3
17,1536,3
17,7412,4
17,9150,4
17,162Y,17
17,7980,49
17,7261,53
17,1668,62
17,8060,78
17,1997,121
18,055Y,1
18,062Y,1
18,7959,1
18,162y,1
18,1253,1
18,107Y,1
18,7645,1
18,125Y,1
18,7275,1
18,1998,1
18,054y,1
18,7259,1
18,7699,1
18,054Y,2
18,8624,3
18,104Y,3
18,7172,3
18,1536,3
18,7412,4
18,9150,4
18,162Y,17
18,7980,49
18,7261,53
18,1668,62
18,8060,78
18,1997,121
19,055Y,1
19,062Y,1
19,7959,1
19,162y,1
19,1253,1
19,7699,1
19,107Y,1
19,7645,1
19,125Y,1
19,7275,1
19,1998,1
19,054y,1
19,7259,1
19,054Y,2
19,8624,3
19,104Y,3
19,7172,3
19,1536,3
19,7412,4
19,9150,4
19,162Y,17
19,7980,49
19,7261,53
19,1668,62
19,8060,78
19,1997,121
20,055Y,1
20,062Y,1
20,7959,1
20,162y,1
20,1253,1
20,107Y,1
20,7645,1
20,125Y,1
20,7275,1
20,1998,1
20,054y,1
20,7259,1
20,7699,1
20,054Y,2
20,8624,3
20,104Y,3
20,7172,3
20,1536,3
20,7412,4
20,9150,4
20,162Y,17
20,7980,49
20,7261,53
20,1668,62
20,8060,78
20,1997,121
21,055Y,1
21,062Y,1
21,7959,1
21,162y,1
21,1253,1
21,7699,1
21,107Y,1
21,7645,1
21,125Y,1
21,7275,1
21,1998,1
21,054y,1
21,7259,1
21,054Y,2
21,104Y,3
21,8624,3
21,7172,3
21,1536,3
21,7412,4
21,9150,4
21,162Y,17
21,7980,49
21,7261,53
21,1668,62
21,8060,78
21,1997,121
22,055Y,1
22,062Y,1
22,7959,1
22,162y,1
22,1253,1
22,7699,1
22,107Y,1
22,7645,1
22,125Y,1
22,7275,1
22,1998,1
22,054y,1
22,7259,1
22,054Y,2
22,104Y,3
22,8624,3
22,7172,3
22,1536,3
22,7412,4
22,9150,4
22,162Y,17
22,7980,49
22,7261,53
22,1668,62
22,8060,78
22,1997,121
23,055Y,1
23,062Y,1
23,7959,1
23,162y,1
23,1253,1
23,7699,1
23,107Y,1
23,7645,1
23,125Y,1
23,7275,1
23,1998,1
23,054y,1
23,7259,1
23,054Y,2
23,8624,3
23,104Y,3
23,7172,3
23,1536,3
23,7412,4
23,9150,4
23,162Y,17
23,7980,49
23,7261,53
23,1668,62
23,8060,78
23,1997,121
24,055Y,1
24,062Y,1
24,7959,1
24,162y,1
24,1253,1
24,107Y,1
24,7645,1
24,125Y,1
24,7275,1
24,1998,1
24,054y,1
24,7259,1
24,7699,1
24,054Y,2
24,8624,3
24,104Y,3
24,7172,3
24,1536,3
24,7412,4
24,9150,4
24,162Y,17
24,7980,49
24,7261,53
24,1668,62
24,8060,78
24,1997,121
25,055Y,1
25,062Y,1
25,7959,1
25,162y,1
25,1253,1
25,7699,1
25,107Y,1
25,7645,1
25,125Y,1
25,7275,1
25,1998,1
25,054y,1
25,7259,1
25,054Y,2
25,104Y,3
25,8624,3
25,7172,3
25,1536,3
25,7412,4
25,9150,4
25,162Y,17
25,7980,49
25,7261,53
25,1668,62
25,8060,78
25,1997,121