topic,ele_code,weight_freq,name,long_name
1,7645,0.004,Discovery Research K-12,Discovery Research K-12
1,125Y,0.007,Science of Science,Science of Science
1,062Y,0.008,GCR-Growing Convergence Research,GCR-Growing Convergence Research
1,7259,0.008,AISL,Advencing Informal STEM Learning
1,055Y,0.009,CISE Education and Workforce,CISE Education and Workforce
1,1998,0.009,IUSE,Imploving Undergraduate STEM Education (IUSE)
1,1253,0.01,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
1,7699,0.016,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
1,107Y,0.02,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
1,7959,0.027,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
1,7275,0.032,Cross-EF Activities,Cross-EF Activities
1,104Y,0.037,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
1,1536,0.038,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
1,8624,0.041,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
1,7172,0.042,Graduate Research Fellowship,Graduate Research Fellowship
1,154Y,0.048,GVF - Global Venture Fund,GVF - Global Venture Fund
1,7412,0.049,Advanced Tech Education Prog,Advanced Tech Education Prog
1,9150,0.056,EPSCoR Co-Funding,EPSCoR Co-Funding
1,162Y,0.476,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
1,7980,1.079,ECR-EHR Core Research,ECR-EHR Core Research
1,7261,1.203,Project & Program Evaluation,Project & Program Evaluation
1,1668,2.036,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
1,8060,2.227,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
1,1997,3.975,NRT,NSF Research Traineeship (NRT)
2,1253,0.003,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
2,7645,0.004,Discovery Research K-12,Discovery Research K-12
2,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
2,7259,0.005,AISL,Advencing Informal STEM Learning
2,055Y,0.007,CISE Education and Workforce,CISE Education and Workforce
2,1998,0.007,IUSE,Imploving Undergraduate STEM Education (IUSE)
2,7959,0.012,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
2,125Y,0.019,Science of Science,Science of Science
2,7699,0.022,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
2,154Y,0.023,GVF - Global Venture Fund,GVF - Global Venture Fund
2,8624,0.023,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
2,107Y,0.033,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
2,7275,0.033,Cross-EF Activities,Cross-EF Activities
2,1536,0.041,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
2,104Y,0.056,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
2,7412,0.056,Advanced Tech Education Prog,Advanced Tech Education Prog
2,9150,0.273,EPSCoR Co-Funding,EPSCoR Co-Funding
2,7172,0.372,Graduate Research Fellowship,Graduate Research Fellowship
2,162Y,0.484,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
2,7980,1.167,ECR-EHR Core Research,ECR-EHR Core Research
2,1668,1.377,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
2,8060,1.681,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
2,7261,3.446,Project & Program Evaluation,Project & Program Evaluation
2,1997,9.306,NRT,NSF Research Traineeship (NRT)
3,7275,0.003,Cross-EF Activities,Cross-EF Activities
3,1253,0.003,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
3,107Y,0.005,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
3,7645,0.006,Discovery Research K-12,Discovery Research K-12
3,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
3,7699,0.008,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
3,1536,0.011,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
3,104Y,0.011,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
3,125Y,0.014,Science of Science,Science of Science
3,154Y,0.017,GVF - Global Venture Fund,GVF - Global Venture Fund
3,7412,0.017,Advanced Tech Education Prog,Advanced Tech Education Prog
3,8624,0.028,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
3,9150,0.039,EPSCoR Co-Funding,EPSCoR Co-Funding
3,062Y,0.045,GCR-Growing Convergence Research,GCR-Growing Convergence Research
3,7259,0.045,AISL,Advencing Informal STEM Learning
3,055Y,0.056,CISE Education and Workforce,CISE Education and Workforce
3,1998,0.056,IUSE,Imploving Undergraduate STEM Education (IUSE)
3,7172,0.083,Graduate Research Fellowship,Graduate Research Fellowship
3,162Y,0.277,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
3,7261,0.748,Project & Program Evaluation,Project & Program Evaluation
3,7980,0.751,ECR-EHR Core Research,ECR-EHR Core Research
3,1668,2.031,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
3,8060,2.587,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
3,1997,2.616,NRT,NSF Research Traineeship (NRT)
4,062Y,0.002,GCR-Growing Convergence Research,GCR-Growing Convergence Research
4,7259,0.002,AISL,Advencing Informal STEM Learning
4,055Y,0.004,CISE Education and Workforce,CISE Education and Workforce
4,1998,0.004,IUSE,Imploving Undergraduate STEM Education (IUSE)
4,125Y,0.005,Science of Science,Science of Science
4,7959,0.009,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
4,107Y,0.009,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
4,7645,0.012,Discovery Research K-12,Discovery Research K-12
4,1253,0.013,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
4,7699,0.015,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
4,1536,0.018,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
4,7275,0.021,Cross-EF Activities,Cross-EF Activities
4,7412,0.031,Advanced Tech Education Prog,Advanced Tech Education Prog
4,154Y,0.034,GVF - Global Venture Fund,GVF - Global Venture Fund
4,9150,0.038,EPSCoR Co-Funding,EPSCoR Co-Funding
4,104Y,0.046,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
4,7172,0.105,Graduate Research Fellowship,Graduate Research Fellowship
4,8624,0.123,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
4,162Y,0.459,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
4,7261,0.722,Project & Program Evaluation,Project & Program Evaluation
4,7980,1.375,ECR-EHR Core Research,ECR-EHR Core Research
4,1668,2.064,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
4,1997,2.429,NRT,NSF Research Traineeship (NRT)
4,8060,2.948,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
5,7959,0.003,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
5,7699,0.006,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
5,062Y,0.009,GCR-Growing Convergence Research,GCR-Growing Convergence Research
5,7259,0.009,AISL,Advencing Informal STEM Learning
5,1253,0.01,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
5,7275,0.014,Cross-EF Activities,Cross-EF Activities
5,107Y,0.014,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
5,055Y,0.015,CISE Education and Workforce,CISE Education and Workforce
5,1998,0.015,IUSE,Imploving Undergraduate STEM Education (IUSE)
5,7645,0.016,Discovery Research K-12,Discovery Research K-12
5,104Y,0.02,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
5,125Y,0.022,Science of Science,Science of Science
5,1536,0.022,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
5,9150,0.023,EPSCoR Co-Funding,EPSCoR Co-Funding
5,154Y,0.027,GVF - Global Venture Fund,GVF - Global Venture Fund
5,7412,0.034,Advanced Tech Education Prog,Advanced Tech Education Prog
5,8624,0.048,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
5,7172,0.076,Graduate Research Fellowship,Graduate Research Fellowship
5,7261,0.742,Project & Program Evaluation,Project & Program Evaluation
5,162Y,0.807,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
5,8060,1.834,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
5,1668,1.898,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
5,1997,2.285,NRT,NSF Research Traineeship (NRT)
5,7980,2.421,ECR-EHR Core Research,ECR-EHR Core Research
6,1253,0.003,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
6,062Y,0.004,GCR-Growing Convergence Research,GCR-Growing Convergence Research
6,7259,0.004,AISL,Advencing Informal STEM Learning
6,7645,0.004,Discovery Research K-12,Discovery Research K-12
6,107Y,0.005,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
6,125Y,0.005,Science of Science,Science of Science
6,7699,0.005,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
6,7275,0.006,Cross-EF Activities,Cross-EF Activities
6,104Y,0.012,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
6,1536,0.013,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
6,7959,0.018,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
6,8624,0.019,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
6,7412,0.034,Advanced Tech Education Prog,Advanced Tech Education Prog
6,7172,0.056,Graduate Research Fellowship,Graduate Research Fellowship
6,9150,0.065,EPSCoR Co-Funding,EPSCoR Co-Funding
6,055Y,0.071,CISE Education and Workforce,CISE Education and Workforce
6,1998,0.071,IUSE,Imploving Undergraduate STEM Education (IUSE)
6,154Y,0.158,GVF - Global Venture Fund,GVF - Global Venture Fund
6,162Y,0.237,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
6,7261,0.395,Project & Program Evaluation,Project & Program Evaluation
6,7980,0.597,ECR-EHR Core Research,ECR-EHR Core Research
6,1997,1.61,NRT,NSF Research Traineeship (NRT)
6,1668,1.775,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
6,8060,15.454,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
7,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
7,7259,0.005,AISL,Advencing Informal STEM Learning
7,055Y,0.006,CISE Education and Workforce,CISE Education and Workforce
7,1998,0.006,IUSE,Imploving Undergraduate STEM Education (IUSE)
7,1253,0.008,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
7,125Y,0.014,Science of Science,Science of Science
7,107Y,0.014,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
7,7959,0.015,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
7,7699,0.016,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
7,7645,0.018,Discovery Research K-12,Discovery Research K-12
7,1536,0.036,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
7,7275,0.036,Cross-EF Activities,Cross-EF Activities
7,104Y,0.038,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
7,7412,0.049,Advanced Tech Education Prog,Advanced Tech Education Prog
7,8624,0.057,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
7,9150,0.062,EPSCoR Co-Funding,EPSCoR Co-Funding
7,154Y,0.072,GVF - Global Venture Fund,GVF - Global Venture Fund
7,7172,0.077,Graduate Research Fellowship,Graduate Research Fellowship
7,162Y,0.558,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
7,7261,1.079,Project & Program Evaluation,Project & Program Evaluation
7,7980,1.494,ECR-EHR Core Research,ECR-EHR Core Research
7,1668,2.209,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
7,1997,3.469,NRT,NSF Research Traineeship (NRT)
7,8060,3.695,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
8,7275,0.006,Cross-EF Activities,Cross-EF Activities
8,055Y,0.008,CISE Education and Workforce,CISE Education and Workforce
8,1998,0.008,IUSE,Imploving Undergraduate STEM Education (IUSE)
8,7645,0.01,Discovery Research K-12,Discovery Research K-12
8,7699,0.011,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
8,125Y,0.014,Science of Science,Science of Science
8,062Y,0.014,GCR-Growing Convergence Research,GCR-Growing Convergence Research
8,7259,0.014,AISL,Advencing Informal STEM Learning
8,1253,0.023,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
8,107Y,0.028,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
8,8624,0.032,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
8,104Y,0.033,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
8,1536,0.049,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
8,154Y,0.051,GVF - Global Venture Fund,GVF - Global Venture Fund
8,7412,0.072,Advanced Tech Education Prog,Advanced Tech Education Prog
8,7172,0.083,Graduate Research Fellowship,Graduate Research Fellowship
8,9150,0.112,EPSCoR Co-Funding,EPSCoR Co-Funding
8,162Y,0.629,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
8,7261,0.873,Project & Program Evaluation,Project & Program Evaluation
8,7980,1.274,ECR-EHR Core Research,ECR-EHR Core Research
8,1668,2.138,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
8,8060,2.546,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8,1997,3.2,NRT,NSF Research Traineeship (NRT)
9,7699,0.003,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
9,1253,0.005,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
9,125Y,0.005,Science of Science,Science of Science
9,062Y,0.006,GCR-Growing Convergence Research,GCR-Growing Convergence Research
9,7259,0.006,AISL,Advencing Informal STEM Learning
9,7959,0.007,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
9,7275,0.009,Cross-EF Activities,Cross-EF Activities
9,1536,0.009,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
9,107Y,0.012,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
9,7412,0.013,Advanced Tech Education Prog,Advanced Tech Education Prog
9,104Y,0.015,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
9,055Y,0.025,CISE Education and Workforce,CISE Education and Workforce
9,1998,0.025,IUSE,Imploving Undergraduate STEM Education (IUSE)
9,154Y,0.045,GVF - Global Venture Fund,GVF - Global Venture Fund
9,8624,0.05,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
9,9150,0.05,EPSCoR Co-Funding,EPSCoR Co-Funding
9,7172,0.069,Graduate Research Fellowship,Graduate Research Fellowship
9,7645,0.176,Discovery Research K-12,Discovery Research K-12
9,162Y,0.616,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
9,7261,0.942,Project & Program Evaluation,Project & Program Evaluation
9,1668,0.949,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
9,1997,1.564,NRT,NSF Research Traineeship (NRT)
9,8060,2.615,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
9,7980,3.053,ECR-EHR Core Research,ECR-EHR Core Research
10,125Y,0.005,Science of Science,Science of Science
10,1536,0.007,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
10,7645,0.012,Discovery Research K-12,Discovery Research K-12
10,7412,0.014,Advanced Tech Education Prog,Advanced Tech Education Prog
10,055Y,0.02,CISE Education and Workforce,CISE Education and Workforce
10,1998,0.02,IUSE,Imploving Undergraduate STEM Education (IUSE)
10,8624,0.029,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
10,062Y,0.069,GCR-Growing Convergence Research,GCR-Growing Convergence Research
10,7259,0.069,AISL,Advencing Informal STEM Learning
10,7172,0.075,Graduate Research Fellowship,Graduate Research Fellowship
10,7699,0.096,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
10,7959,0.105,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
10,107Y,0.111,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
10,7275,0.164,Cross-EF Activities,Cross-EF Activities
10,1253,0.168,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
10,154Y,0.243,GVF - Global Venture Fund,GVF - Global Venture Fund
10,104Y,0.281,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
10,9150,0.291,EPSCoR Co-Funding,EPSCoR Co-Funding
10,162Y,0.304,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
10,7980,0.784,ECR-EHR Core Research,ECR-EHR Core Research
10,1668,1.122,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
10,8060,1.279,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
10,7261,4.285,Project & Program Evaluation,Project & Program Evaluation
10,1997,15.563,NRT,NSF Research Traineeship (NRT)
11,062Y,0.001,GCR-Growing Convergence Research,GCR-Growing Convergence Research
11,7259,0.001,AISL,Advencing Informal STEM Learning
11,7275,0.003,Cross-EF Activities,Cross-EF Activities
11,1253,0.005,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
11,7699,0.006,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
11,107Y,0.014,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
11,7959,0.016,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
11,055Y,0.022,CISE Education and Workforce,CISE Education and Workforce
11,1998,0.022,IUSE,Imploving Undergraduate STEM Education (IUSE)
11,104Y,0.024,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
11,154Y,0.029,GVF - Global Venture Fund,GVF - Global Venture Fund
11,1536,0.03,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
11,9150,0.039,EPSCoR Co-Funding,EPSCoR Co-Funding
11,7412,0.045,Advanced Tech Education Prog,Advanced Tech Education Prog
11,8624,0.052,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
11,7645,0.1,Discovery Research K-12,Discovery Research K-12
11,7172,0.101,Graduate Research Fellowship,Graduate Research Fellowship
11,125Y,0.109,Science of Science,Science of Science
11,7261,0.698,Project & Program Evaluation,Project & Program Evaluation
11,1668,1.069,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
11,8060,1.748,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
11,1997,2.622,NRT,NSF Research Traineeship (NRT)
11,162Y,5.592,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
11,7980,8.363,ECR-EHR Core Research,ECR-EHR Core Research
12,7275,0.005,Cross-EF Activities,Cross-EF Activities
12,7699,0.005,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
12,062Y,0.006,GCR-Growing Convergence Research,GCR-Growing Convergence Research
12,7259,0.006,AISL,Advencing Informal STEM Learning
12,7645,0.006,Discovery Research K-12,Discovery Research K-12
12,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
12,107Y,0.008,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
12,125Y,0.009,Science of Science,Science of Science
12,055Y,0.009,CISE Education and Workforce,CISE Education and Workforce
12,1998,0.009,IUSE,Imploving Undergraduate STEM Education (IUSE)
12,1253,0.01,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
12,8624,0.011,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
12,104Y,0.014,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
12,1536,0.017,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
12,9150,0.018,EPSCoR Co-Funding,EPSCoR Co-Funding
12,7412,0.021,Advanced Tech Education Prog,Advanced Tech Education Prog
12,154Y,0.023,GVF - Global Venture Fund,GVF - Global Venture Fund
12,7172,0.042,Graduate Research Fellowship,Graduate Research Fellowship
12,162Y,0.286,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
12,7261,0.407,Project & Program Evaluation,Project & Program Evaluation
12,7980,0.555,ECR-EHR Core Research,ECR-EHR Core Research
12,1997,1.332,NRT,NSF Research Traineeship (NRT)
12,1668,2.839,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
12,8060,7.545,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
13,062Y,0.003,GCR-Growing Convergence Research,GCR-Growing Convergence Research
13,7259,0.003,AISL,Advencing Informal STEM Learning
13,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
13,1253,0.007,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
13,7699,0.008,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
13,055Y,0.012,CISE Education and Workforce,CISE Education and Workforce
13,1998,0.012,IUSE,Imploving Undergraduate STEM Education (IUSE)
13,1536,0.015,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
13,107Y,0.019,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
13,7275,0.02,Cross-EF Activities,Cross-EF Activities
13,7645,0.021,Discovery Research K-12,Discovery Research K-12
13,104Y,0.023,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
