topic,ele_code,weight_freq,name,long_name
13,7412,0.023,Advanced Tech Education Prog,Advanced Tech Education Prog
13,154Y,0.031,GVF - Global Venture Fund,GVF - Global Venture Fund
13,125Y,0.032,Science of Science,Science of Science
13,9150,0.035,EPSCoR Co-Funding,EPSCoR Co-Funding
13,8624,0.044,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
13,7172,0.069,Graduate Research Fellowship,Graduate Research Fellowship
13,162Y,0.661,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
13,7261,0.697,Project & Program Evaluation,Project & Program Evaluation
13,1668,1.249,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
13,8060,1.514,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
13,1997,2.347,NRT,NSF Research Traineeship (NRT)
13,7980,4.597,ECR-EHR Core Research,ECR-EHR Core Research
14,055Y,0.003,CISE Education and Workforce,CISE Education and Workforce
14,1998,0.003,IUSE,Imploving Undergraduate STEM Education (IUSE)
14,7959,0.007,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
14,7645,0.009,Discovery Research K-12,Discovery Research K-12
14,062Y,0.009,GCR-Growing Convergence Research,GCR-Growing Convergence Research
14,7259,0.009,AISL,Advencing Informal STEM Learning
14,7699,0.015,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
14,7275,0.018,Cross-EF Activities,Cross-EF Activities
14,107Y,0.02,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
14,104Y,0.022,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
14,1536,0.024,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
14,7412,0.028,Advanced Tech Education Prog,Advanced Tech Education Prog
14,8624,0.043,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
14,154Y,0.052,GVF - Global Venture Fund,GVF - Global Venture Fund
14,1253,0.077,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
14,9150,0.08,EPSCoR Co-Funding,EPSCoR Co-Funding
14,7172,0.085,Graduate Research Fellowship,Graduate Research Fellowship
14,125Y,0.101,Science of Science,Science of Science
14,162Y,0.403,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
14,7261,0.861,Project & Program Evaluation,Project & Program Evaluation
14,1668,1.278,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
14,7980,1.485,ECR-EHR Core Research,ECR-EHR Core Research
14,8060,2.033,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
14,1997,3.416,NRT,NSF Research Traineeship (NRT)
15,062Y,0.002,GCR-Growing Convergence Research,GCR-Growing Convergence Research
15,7259,0.002,AISL,Advencing Informal STEM Learning
15,7275,0.006,Cross-EF Activities,Cross-EF Activities
15,1253,0.007,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
15,7645,0.009,Discovery Research K-12,Discovery Research K-12
15,055Y,0.009,CISE Education and Workforce,CISE Education and Workforce
15,1998,0.009,IUSE,Imploving Undergraduate STEM Education (IUSE)
15,7699,0.01,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
15,125Y,0.01,Science of Science,Science of Science
15,107Y,0.017,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
15,7959,0.018,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
15,104Y,0.02,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
15,9150,0.021,EPSCoR Co-Funding,EPSCoR Co-Funding
15,154Y,0.022,GVF - Global Venture Fund,GVF - Global Venture Fund
15,1536,0.029,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
15,8624,0.035,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
15,7412,0.042,Advanced Tech Education Prog,Advanced Tech Education Prog
15,7172,0.057,Graduate Research Fellowship,Graduate Research Fellowship
15,162Y,0.657,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
15,7261,0.889,Project & Program Evaluation,Project & Program Evaluation
15,7980,0.966,ECR-EHR Core Research,ECR-EHR Core Research
15,1997,2.04,NRT,NSF Research Traineeship (NRT)
15,1668,2.718,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
15,8060,4.028,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
16,062Y,0.003,GCR-Growing Convergence Research,GCR-Growing Convergence Research
16,7259,0.003,AISL,Advencing Informal STEM Learning
16,055Y,0.004,CISE Education and Workforce,CISE Education and Workforce
16,1998,0.004,IUSE,Imploving Undergraduate STEM Education (IUSE)
16,1253,0.005,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
16,107Y,0.006,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
16,104Y,0.01,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
16,7275,0.011,Cross-EF Activities,Cross-EF Activities
16,1536,0.012,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
16,7645,0.012,Discovery Research K-12,Discovery Research K-12
16,7699,0.017,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
16,154Y,0.018,GVF - Global Venture Fund,GVF - Global Venture Fund
16,7412,0.02,Advanced Tech Education Prog,Advanced Tech Education Prog
16,7959,0.031,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
16,9150,0.045,EPSCoR Co-Funding,EPSCoR Co-Funding
16,125Y,0.051,Science of Science,Science of Science
16,7172,0.057,Graduate Research Fellowship,Graduate Research Fellowship
16,8624,0.062,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
16,162Y,0.543,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
16,7261,1.051,Project & Program Evaluation,Project & Program Evaluation
16,1668,1.199,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
16,8060,1.837,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
16,7980,2.093,ECR-EHR Core Research,ECR-EHR Core Research
16,1997,3.421,NRT,NSF Research Traineeship (NRT)
17,7699,0.002,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
17,055Y,0.002,CISE Education and Workforce,CISE Education and Workforce
17,1998,0.002,IUSE,Imploving Undergraduate STEM Education (IUSE)
17,7959,0.003,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
17,107Y,0.005,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
17,125Y,0.005,Science of Science,Science of Science
17,7645,0.009,Discovery Research K-12,Discovery Research K-12
17,062Y,0.011,GCR-Growing Convergence Research,GCR-Growing Convergence Research
17,7259,0.011,AISL,Advencing Informal STEM Learning
17,1536,0.012,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
17,1253,0.012,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
17,7412,0.015,Advanced Tech Education Prog,Advanced Tech Education Prog
17,7275,0.015,Cross-EF Activities,Cross-EF Activities
17,154Y,0.016,GVF - Global Venture Fund,GVF - Global Venture Fund
17,104Y,0.024,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
17,9150,0.046,EPSCoR Co-Funding,EPSCoR Co-Funding
17,7172,0.062,Graduate Research Fellowship,Graduate Research Fellowship
17,162Y,0.554,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
17,8624,0.566,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
17,7261,0.81,Project & Program Evaluation,Project & Program Evaluation
17,1668,0.825,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
17,7980,1.551,ECR-EHR Core Research,ECR-EHR Core Research
17,8060,1.967,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
17,1997,2.739,NRT,NSF Research Traineeship (NRT)
18,1253,0.003,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
18,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
18,7259,0.005,AISL,Advencing Informal STEM Learning
18,055Y,0.005,CISE Education and Workforce,CISE Education and Workforce
18,1998,0.005,IUSE,Imploving Undergraduate STEM Education (IUSE)
18,125Y,0.007,Science of Science,Science of Science
18,7275,0.011,Cross-EF Activities,Cross-EF Activities
18,7645,0.012,Discovery Research K-12,Discovery Research K-12
18,7959,0.013,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
18,7699,0.02,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
18,8624,0.034,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
18,1536,0.035,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
18,7412,0.045,Advanced Tech Education Prog,Advanced Tech Education Prog
18,9150,0.058,EPSCoR Co-Funding,EPSCoR Co-Funding
18,7172,0.062,Graduate Research Fellowship,Graduate Research Fellowship
18,154Y,0.066,GVF - Global Venture Fund,GVF - Global Venture Fund
18,107Y,0.067,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
18,104Y,0.071,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
18,162Y,0.464,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
18,7261,0.771,Project & Program Evaluation,Project & Program Evaluation
18,7980,1.548,ECR-EHR Core Research,ECR-EHR Core Research
18,8060,2.044,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
18,1668,2.071,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
18,1997,2.764,NRT,NSF Research Traineeship (NRT)
19,7699,0.003,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
19,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
19,7259,0.005,AISL,Advencing Informal STEM Learning
19,055Y,0.006,CISE Education and Workforce,CISE Education and Workforce
19,1998,0.006,IUSE,Imploving Undergraduate STEM Education (IUSE)
19,125Y,0.007,Science of Science,Science of Science
19,107Y,0.008,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
19,7959,0.009,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
19,1253,0.012,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
19,1536,0.014,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
19,7645,0.015,Discovery Research K-12,Discovery Research K-12
19,7275,0.017,Cross-EF Activities,Cross-EF Activities
19,154Y,0.024,GVF - Global Venture Fund,GVF - Global Venture Fund
19,104Y,0.028,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
19,8624,0.03,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
19,9150,0.035,EPSCoR Co-Funding,EPSCoR Co-Funding
19,7412,0.037,Advanced Tech Education Prog,Advanced Tech Education Prog
19,7172,0.091,Graduate Research Fellowship,Graduate Research Fellowship
19,162Y,0.379,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
19,7261,0.942,Project & Program Evaluation,Project & Program Evaluation
19,1668,1.73,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
19,7980,1.741,ECR-EHR Core Research,ECR-EHR Core Research
19,8060,1.874,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
19,1997,3.933,NRT,NSF Research Traineeship (NRT)
20,062Y,0.001,GCR-Growing Convergence Research,GCR-Growing Convergence Research
20,7259,0.001,AISL,Advencing Informal STEM Learning
20,7699,0.003,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
20,7645,0.003,Discovery Research K-12,Discovery Research K-12
20,055Y,0.004,CISE Education and Workforce,CISE Education and Workforce
20,1998,0.004,IUSE,Imploving Undergraduate STEM Education (IUSE)
20,7959,0.007,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
20,125Y,0.01,Science of Science,Science of Science
20,7275,0.011,Cross-EF Activities,Cross-EF Activities
20,1536,0.018,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
20,107Y,0.02,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
20,8624,0.032,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
20,154Y,0.039,GVF - Global Venture Fund,GVF - Global Venture Fund
20,1253,0.04,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
20,7412,0.047,Advanced Tech Education Prog,Advanced Tech Education Prog
20,104Y,0.052,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
20,7172,0.071,Graduate Research Fellowship,Graduate Research Fellowship
20,9150,0.219,EPSCoR Co-Funding,EPSCoR Co-Funding
20,162Y,0.553,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
20,7261,0.782,Project & Program Evaluation,Project & Program Evaluation
20,8060,1.42,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
20,7980,1.584,ECR-EHR Core Research,ECR-EHR Core Research
20,1668,1.99,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
20,1997,3.751,NRT,NSF Research Traineeship (NRT)
21,062Y,0.002,GCR-Growing Convergence Research,GCR-Growing Convergence Research
21,7259,0.002,AISL,Advencing Informal STEM Learning
21,055Y,0.002,CISE Education and Workforce,CISE Education and Workforce
21,1998,0.002,IUSE,Imploving Undergraduate STEM Education (IUSE)
21,7699,0.003,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
21,7275,0.005,Cross-EF Activities,Cross-EF Activities
21,125Y,0.005,Science of Science,Science of Science
21,7645,0.006,Discovery Research K-12,Discovery Research K-12
21,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
21,107Y,0.008,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
21,1253,0.012,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
21,1536,0.014,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
21,7412,0.019,Advanced Tech Education Prog,Advanced Tech Education Prog
21,8624,0.022,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
21,154Y,0.027,GVF - Global Venture Fund,GVF - Global Venture Fund
21,104Y,0.035,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
21,7172,0.042,Graduate Research Fellowship,Graduate Research Fellowship
21,9150,0.079,EPSCoR Co-Funding,EPSCoR Co-Funding
21,162Y,0.212,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
21,7980,0.62,ECR-EHR Core Research,ECR-EHR Core Research
21,7261,0.707,Project & Program Evaluation,Project & Program Evaluation
21,1668,1.093,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
21,1997,2.508,NRT,NSF Research Traineeship (NRT)
21,8060,2.944,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
22,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
22,7259,0.005,AISL,Advencing Informal STEM Learning
22,7699,0.005,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
22,7645,0.007,Discovery Research K-12,Discovery Research K-12
22,7275,0.008,Cross-EF Activities,Cross-EF Activities
22,055Y,0.01,CISE Education and Workforce,CISE Education and Workforce
22,1998,0.01,IUSE,Imploving Undergraduate STEM Education (IUSE)
22,154Y,0.022,GVF - Global Venture Fund,GVF - Global Venture Fund
22,104Y,0.023,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
22,7959,0.024,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
22,125Y,0.027,Science of Science,Science of Science
22,107Y,0.028,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
22,1253,0.029,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
22,8624,0.029,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
22,9150,0.032,EPSCoR Co-Funding,EPSCoR Co-Funding
22,1536,0.265,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
22,162Y,0.371,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
22,7412,0.441,Advanced Tech Education Prog,Advanced Tech Education Prog
22,7261,0.645,Project & Program Evaluation,Project & Program Evaluation
22,7172,1.062,Graduate Research Fellowship,Graduate Research Fellowship
22,7980,1.866,ECR-EHR Core Research,ECR-EHR Core Research
22,8060,2.152,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
22,1997,2.209,NRT,NSF Research Traineeship (NRT)
22,1668,2.74,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
23,7699,0.003,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
23,7645,0.004,Discovery Research K-12,Discovery Research K-12
23,7959,0.004,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
23,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
23,7259,0.005,AISL,Advencing Informal STEM Learning
23,1253,0.005,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
23,125Y,0.005,Science of Science,Science of Science
23,7275,0.009,Cross-EF Activities,Cross-EF Activities
23,8624,0.011,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
23,055Y,0.015,CISE Education and Workforce,CISE Education and Workforce
23,1998,0.015,IUSE,Imploving Undergraduate STEM Education (IUSE)
23,107Y,0.015,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
23,9150,0.031,EPSCoR Co-Funding,EPSCoR Co-Funding
23,154Y,0.032,GVF - Global Venture Fund,GVF - Global Venture Fund
23,104Y,0.034,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
23,7172,0.079,Graduate Research Fellowship,Graduate Research Fellowship
23,162Y,0.224,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
23,1536,0.248,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
23,7412,0.309,Advanced Tech Education Prog,Advanced Tech Education Prog
23,7261,0.432,Project & Program Evaluation,Project & Program Evaluation
23,7980,0.657,ECR-EHR Core Research,ECR-EHR Core Research
23,1997,1.377,NRT,NSF Research Traineeship (NRT)
23,8060,2.238,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
23,1668,18.158,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
24,055Y,0.003,CISE Education and Workforce,CISE Education and Workforce
24,1998,0.003,IUSE,Imploving Undergraduate STEM Education (IUSE)
24,7699,0.004,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
24,062Y,0.005,GCR-Growing Convergence Research,GCR-Growing Convergence Research
24,7259,0.005,AISL,Advencing Informal STEM Learning
24,125Y,0.005,Science of Science,Science of Science
24,7275,0.006,Cross-EF Activities,Cross-EF Activities
24,107Y,0.008,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
24,1536,0.014,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
24,7645,0.015,Discovery Research K-12,Discovery Research K-12
24,1253,0.022,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
24,154Y,0.022,GVF - Global Venture Fund,GVF - Global Venture Fund
24,104Y,0.025,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
24,7412,0.025,Advanced Tech Education Prog,Advanced Tech Education Prog
24,7959,0.033,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
24,9150,0.04,EPSCoR Co-Funding,EPSCoR Co-Funding
24,7172,0.042,Graduate Research Fellowship,Graduate Research Fellowship
24,8624,0.051,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
24,162Y,0.429,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
24,7261,0.573,Project & Program Evaluation,Project & Program Evaluation
24,1668,1.464,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
24,7980,1.64,ECR-EHR Core Research,ECR-EHR Core Research
24,1997,1.881,NRT,NSF Research Traineeship (NRT)
24,8060,3.936,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
25,055Y,0.004,CISE Education and Workforce,CISE Education and Workforce
25,1998,0.004,IUSE,Imploving Undergraduate STEM Education (IUSE)
25,1253,0.007,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
25,125Y,0.007,Science of Science,Science of Science
25,107Y,0.008,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
25,1536,0.009,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
25,7645,0.01,Discovery Research K-12,Discovery Research K-12
25,7412,0.016,Advanced Tech Education Prog,Advanced Tech Education Prog
25,062Y,0.021,GCR-Growing Convergence Research,GCR-Growing Convergence Research
25,7259,0.021,AISL,Advencing Informal STEM Learning
25,8624,0.026,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
25,7275,0.032,Cross-EF Activities,Cross-EF Activities
25,7699,0.032,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
25,7172,0.042,Graduate Research Fellowship,Graduate Research Fellowship
25,9150,0.046,EPSCoR Co-Funding,EPSCoR Co-Funding
25,7959,0.106,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
25,154Y,0.192,GVF - Global Venture Fund,GVF - Global Venture Fund
25,162Y,0.324,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
25,104Y,0.378,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
25,7980,0.738,ECR-EHR Core Research,ECR-EHR Core Research
25,1668,0.98,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
25,8060,1.186,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
25,7261,2.215,Project & Program Evaluation,Project & Program Evaluation
25,1997,5.893,NRT,NSF Research Traineeship (NRT)